"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT08","WT11","WT13","WT14","WT16","WT17","WT18","WT19","WT22"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-02-05","3.36"," 0713"," 0102","0.08","0.0","0",,"47","43","   40","  230","12.1","15.0","    1",,,,,,,"    1","    1","    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-02-06","12.08"," 2207"," 2207","0.25","0.0","0",,"50","43","  200","  200","23.9","33.1","    1",,,,,,,"    1","    1","    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-02-07","6.71"," 0020"," 0000","0.05","0.0","0",,"48","39","  220","  220","23.0","31.1","    1",,,,,,,,"    1","    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-02-08","5.82"," 1702"," 1724","0.00","0.0","0",,"46","35","  360","  350","17.0","21.9",,,,,,,,,,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-02-09","3.13"," 2101"," 2104","0.00","0.0","0",,"45","28","   60","  110","8.1","12.1",,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-02-10","2.91"," 1424"," 1224","0.00","0.0","0",,"47","29","  310","  300","6.9","8.9",,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-02-11","3.80"," 1614"," 1123","0.00","0.0","0",,"47","35","  180","  130","10.1","14.1",,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-02-12","14.54"," 1401"," 1428","0.37","0.0","0",,"54","40","  190","  200","34.9","46.1","    1",,,,,,,"    1",,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-02-13","7.38"," 0159"," 0113","0.24","0.0","0",,"52","41","  190","  160","17.9","25.1","    1",,,,,,,"    1",,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-02-14","9.84"," 1747"," 2040","0.54","0.0","0",,"50","40","  220","  190","25.9","32.0","    1",,,,,,,"    1",,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-02-15","7.61"," 1529"," 1529","0.09","0.0","0",,"46","37","  210","  210","23.9","29.1",,,,,,,,,,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-02-16","10.07"," 1916"," 1915","0.04","0.0","0",,"44","34","  210","  210","21.9","25.1","    1",,,,,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-02-17","7.61"," 0323"," 0313","0.11","0.0","0",,"44","34","  220","  210","16.1","21.9","    1",,,,,,,"    1",,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-02-18","6.04"," 2358"," 2347","0.00","0.0","0",,"49","32","   20","   20","13.0","15.0",,,,,,"    1",,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-02-19","14.32"," 1248"," 1248","0.00","0.0","0",,"43","32","   10","   10","30.0","36.0",,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-02-20","5.37"," 1624"," 1636","0.00","0.0","0",,"45","27","  250","  250","13.0","15.0",,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-02-21","7.38"," 0820"," 0820","0.03","0.0","0",,"45","34","  200","  210","25.1","38.0","    1",,,,,,,,,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-02-22","7.83"," 1407"," 1400","0.04","0.0","0",,"44","32","   20","   20","19.9","23.9","    1",,,,,,,"    1",,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-02-23","12.08"," 0828"," 0843","0.24","2.0","0",,"37","27","  200","  210","25.9","33.1","    1","    1",,,,,,"    1",,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-02-24","9.84"," 1006"," 0906","0.00","0.0","3",,"35","24","   30","   20","17.0","21.0","    1",,,,,"    1",,"    1",,,,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-02-25","10.29"," 1520"," 1152","0.00","0.0","1",,"31","20","  360","  320","17.9","23.0",,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-02-26","9.62"," 2316"," 2326","0.00","0.0","0",,"34","19","  200","  210","23.9","32.0","    1",,,,,,,,,,,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-02-27","18.57"," 1617"," 1445","0.47","0.0","0",,"42","33","  200","  210","32.0","42.9","    1",,,,,,,"    1","    1","    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-02-28","12.30"," 0212"," 0103","0.42","0.0","0",,"40","34","  210","  200","21.9","30.0","    1",,,,,,,"    1","    1","    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-03-01","6.93"," 2359"," 2359","0.24","0.0","0",,"44","34","   90","   90","14.1","16.1","    1",,,,,,,"    1",,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-03-02","12.30"," 0910"," 1357","0.07","0.0","0",,"50","36","  190","  200","30.0","46.1","    1",,,,,,,"    1",,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-03-03","10.96"," 1402"," 1708","0.22","0.0","0",,"48","36","  220","  240","23.0","28.0","    1",,,,,,,"    1",,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-03-04","10.07"," 1932"," 2052","0.12","0.0","0",,"49","33","  170","  150","21.9","31.1","    1",,,,,,,"    1",,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-03-05","6.93"," 0208"," 0207","0.02","0.0","0",,"50","38","  210","  200","17.0","21.0",,,,,,,,,,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-03-06","5.82"," 0828"," 0827","0.00","0.0","0",,"47","34","   10","   10","12.1","14.1",,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-03-07","4.03"," 0622",,"0.00","0.0","0",,"48","36","  110",,"8.1",,,,,,,,,,,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-03-08","10.07"," 1627"," 1553","0.16","0.0","0",,"52","38","  230","  230","23.0","30.0","    1",,,,,,,"    1",,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-03-09","11.63"," 0825"," 0825","1.47","0.0","0",,"52","42","  170","  170","23.9","32.0","    1",,,,,,,"    1",,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-03-10","20.80"," 1733"," 1731","0.55","0.0","0",,"53","39","  210","  200","38.0","55.0","    1",,,,,,,"    1",,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-03-11","10.74"," 1119"," 2229","0.00","0.0","0",,"53","38","  190","  180","17.9","25.1",,,,,,,,,,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-03-12","5.82"," 1754"," 2359","0.41","0.0","0",,"48","42","  250","  120","14.1","19.9","    1",,,,,,,"    1",,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-03-13","12.30"," 1742"," 1628","0.33","0.0","0",,"53","43","  190","  180","23.9","34.9","    1",,,,,,,,,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-03-14","12.97"," 0314"," 0313","0.12","0.0","0",,"53","44","  190","  190","25.9","36.0","    1",,,,,"    1",,"    1",,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-03-15","11.63"," 2222"," 2221","0.37","0.0","0",,"55","42","  200","  200","33.1","47.0","    1",,,,,,"    1","    1",,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-03-16","12.97"," 1328"," 1327","0.09","0.0","0",,"48","38","  220","  230","19.9","28.0","    1",,,,,"    1",,,,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-03-17","5.37"," 1330"," 1329","0.00","0.0","0",,"51","37","  180","  180","17.0","21.9",,,,,,,,,,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-03-18","8.95"," 0404"," 0933","0.27","0.0","0",,"50","38","  110","  160","21.0","25.1","    1",,,,,,,"    1",,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-03-19","4.47"," 1628"," 1614","0.00","0.0","0",,"54","36","   40","   10","8.9","17.9",,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-03-20","13.87"," 1029"," 0816","0.01","0.0","0",,"50","37","  360","   10","21.0","23.9",,,,,,,,,,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-03-21","8.72"," 1710"," 1655","0.01","0.0","0",,"50","40","  220","  200","21.0","29.1",,,,,,,,,,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-03-22","6.93"," 1402"," 1413","0.00","0.0","0",,"51","37","  210","  210","14.1","17.9",,,,,,,,,,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-03-23","11.86"," 1654"," 2158","0.00","0.0","0",,"62","34","  130","  100","23.9","30.0",,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-03-24","8.72"," 0239"," 0238","0.23","0.0","0",,"61","41","   90","   90","19.9","25.9","    1",,,,,,,"    1",,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-03-25","8.05"," 1648"," 1647","0.33","0.0","0",,"55","39","  170","  180","23.0","25.9","    1",,,,,,,"    1","    1","    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-03-26","5.82"," 2331"," 2356","0.15","0.0","0",,"50","37","  210","  210","16.1","19.9","    1",,,,,,,"    1",,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-03-27","7.61"," 1805"," 1756","0.28","0.0","0",,"51","39","  210","  210","17.0","23.0","    1",,,,,,,"    1",,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-03-28","9.62"," 1646"," 1644","0.14","0.0","0",,"51","41","  230","  230","16.1","21.9",,,,,,,,,,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-03-29","8.50"," 2344"," 2343","0.12","0.0","0",,"49","43","  190","  190","19.9","25.1","    1",,,,,,,"    1","    1","    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-03-30","15.43"," 0458"," 0214","0.26","0.0","0",,"51","48","  180","  190","23.9","31.1","    1",,,,,,,"    1","    1","    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-03-31","14.54"," 0656"," 1357","0.32","0.0","0",,"54","46","  200","  310","23.9","33.1","    1",,,,,,,"    1","    1","    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-04-01","5.82"," 2235"," 2132","1.13","0.0","0",,"48","41","   10","  360","17.0","21.9","    1",,,,,,,"    1",,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-04-02","8.72"," 0913"," 1348","0.37","0.0","0",,"48","39","  210","  220","16.1","19.9","    1",,,,,,,"    1",,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-04-03","7.38"," 1535"," 1455","0.06","0.0","0",,"49","38","  240","  220","15.0","17.9","    1",,,,,,,"    1",,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-04-04","10.29"," 2243"," 2242","0.24","0.0","0",,"47","41","  210","  200","23.0","30.0","    1",,,,,,,"    1","    1","    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-04-05","15.88"," 1232"," 1240","0.23","0.0","0",,"46","41","  210","  190","23.9","31.1","    1",,,,,,,"    1",,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-04-06","11.86"," 1306"," 1306","0.12","0.0","0",,"48","34","  310","  310","23.9","36.0","    1",,,,,,,"    1",,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-04-07","4.92"," 1834"," 1834","0.08","0.0","0",,"49","33","  210","  210","25.1","29.1","    1","    1",,,,,,"    1",,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-04-08","3.13"," 1407"," 1530","0.00","0.0","0",,"54","34","  280","  320","14.1","21.0","    1",,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-04-09","8.50"," 1914"," 1048","0.01","0.0","0",,"55","42","  250","  160","15.0","36.0",,,,,,,,,,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-04-10","11.86"," 1830"," 1723","0.16","0.0","0",,"55","44","  200","  180","23.0","31.1","    1",,,,,,,,,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-04-11","13.42"," 1138"," 0953","0.00","0.0","0",,"51","38","  200","  200","23.0","31.1",,,,,,,,,,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-04-12","4.47"," 1533"," 1516","0.00","0.0","0",,"53","35","  270","  240","12.1","15.0",,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-04-13","9.40"," 1505"," 0808","0.17","0.0","0",,"48","40","  200","  110","17.9","29.1","    1",,,,,,,,,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-04-14","10.51"," 1554"," 1553","0.40","0.0","0",,"47","39","  200","  200","25.1","31.1","    1",,,,,,,"    1",,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-04-15","3.80"," 0050"," 1253","0.09","0.0","0",,"53","38","  190","   80","10.1","13.0","    1",,,,,"    1",,"    1","    1","    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-04-16","10.51"," 1754"," 1754","0.06","0.0","0",,"53","42","   20","   20","21.9","25.1","    1",,,,,,,"    1","    1","    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-04-17","5.82"," 1710"," 1714","0.01","0.0","0",,"52","36","  310","  320","17.0","25.1",,,,,,,,,,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-04-18","5.82"," 1648"," 1648","0.01","0.0","0",,"51","36","  270","  270","21.9","28.0",,,,"    1",,,,,,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-04-19","6.04"," 2347"," 2342","0.00","0.0","0",,"53","36","   30","   30","14.1","17.0",,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-04-20","9.62"," 1337"," 1342","0.00","0.0","0",,"54","36","   20","  360","15.0","21.0",,,,,,,,,,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-04-21","8.05"," 1929"," 1928","0.00","0.0","0",,"53","38","   60","   60","16.1","21.0",,,,,,,,,,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-04-22","7.38"," 1759"," 1744","0.00","0.0","0",,"57","38","  340","  340","16.1","21.0",,,,,,,,,,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-04-23","5.82"," 0055"," 0054","0.00","0.0","0",,"66","38","   20","   10","15.0","17.9",,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-04-24","8.72"," 1552"," 1549","0.18","0.0","0",,"55","45","  220","  220","16.1","21.9","    1",,,,,,,"    1",,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-04-25","10.51"," 1739"," 1755","0.52","0.0","0",,"52","43","  220","  220","23.9","32.0","    1",,,,,,,"    1",,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-04-26","9.40"," 1704"," 1703","0.01","0.0","0",,"57","42","  220","  220","17.0","21.9",,,,,,,,,,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-04-27","12.53"," 1032"," 1516","0.45","0.0","0",,"52","37","  190","  270","23.9","32.0","    1",,,,,,,"    1",,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-04-28","12.08"," 0816"," 0838","0.04","0.0","0",,"51","39","  200","  220","21.0","29.1",,,,,,,,,,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-04-29","4.92"," 1340"," 1339","0.00","0.0","0",,"54","39","  250","  240","12.1","15.0",,,,,,,,,,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-04-30","5.14"," 2233"," 2226","0.13","0.0","0",,"56","43","   40","   30","12.1","15.0","    1",,,,,,,"    1",,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-05-01","3.58"," 1247"," 1246","0.00","0.0","0",,"62","39","  300","  310","12.1","15.0",,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-05-02","9.62"," 1657"," 1649","0.18","0.0","0",,"53","44","  220","  230","23.9","32.0","    1",,,,,,,"    1",,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-05-03","8.72"," 0140"," 0139","0.00","0.0","0",,"58","44","  230","  230","17.0","21.9",,,,,,,,,,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-05-04","6.93"," 1702",,"0.00","0.0","0",,"62","42","   30",,"11.0",,,,,,,,,,,,,,,
